v_in, I_a, I_b
-28.000000, 0.487464, 0.487464
-27.900000, 0.487341, 0.487341
-27.800000, 0.486973, 0.486973
-27.700000, 0.486360, 0.486360
-27.600000, 0.485502, 0.485502
-27.500000, 0.484399, 0.484399
-27.400000, 0.483052, 0.483052
-27.300000, 0.481462, 0.481462
-27.200000, 0.479630, 0.479630
-27.100000, 0.477556, 0.477556
-27.000000, 0.475242, 0.475242
-26.900000, 0.472689, 0.472689
-26.800000, 0.469897, 0.469897
-26.700000, 0.466869, 0.466869
-26.600000, 0.463606, 0.463606
-26.500000, 0.460109, 0.460109
-26.400000, 0.456381, 0.456381
-26.300000, 0.452423, 0.452423
-26.200000, 0.448237, 0.448237
-26.100000, 0.443825, 0.443825
-26.000000, 0.439190, 0.439190
-25.900000, 0.434334, 0.434334
-25.800000, 0.429259, 0.429259
-25.700000, 0.423967, 0.423967
-25.600000, 0.418463, 0.418463
-25.500000, 0.412748, 0.412748
-25.400000, 0.406824, 0.406824
-25.300000, 0.400696, 0.400696
-25.200000, 0.394367, 0.394367
-25.100000, 0.387838, 0.387838
-25.000000, 0.381115, 0.381115
-24.900000, 0.374199, 0.374199
-24.800000, 0.367095, 0.367095
-24.700000, 0.359806, 0.359806
-24.600000, 0.352336, 0.352336
-24.500000, 0.344689, 0.344689
-24.400000, 0.336868, 0.336868
-24.300000, 0.328878, 0.328878
-24.200000, 0.320721, 0.320721
-24.100000, 0.312404, 0.312404
-24.000000, 0.303929, 0.303929
-23.900000, 0.295301, 0.295301
-23.800000, 0.286524, 0.286524
-23.700000, 0.277603, 0.277603
-23.600000, 0.268542, 0.268542
-23.500000, 0.259346, 0.259346
-23.400000, 0.250020, 0.250020
-23.300000, 0.240567, 0.240567
-23.200000, 0.230994, 0.230994
-23.100000, 0.221304, 0.221304
-23.000000, 0.211503, 0.211503
-22.900000, 0.201595, 0.201595
-22.800000, 0.191586, 0.191586
-22.700000, 0.181480, 0.181480
-22.600000, 0.171283, 0.171283
-22.500000, 0.160999, 0.160999
-22.400000, 0.150635, 0.150635
-22.300000, 0.140194, 0.140194
-22.200000, 0.129683, 0.129683
-22.100000, 0.119107, 0.119107
-22.000000, 0.108471, 0.108471
-21.900000, 0.097780, 0.097780
-21.800000, 0.087040, 0.087040
-21.700000, 0.076256, 0.076256
-21.600000, 0.065434, 0.065434
-21.500000, 0.054579, 0.054579
-21.400000, 0.043696, 0.043696
-21.300000, 0.032791, 0.032791
-21.200000, 0.021870, 0.021870
-21.100000, 0.010938, 0.010938
-21.000000, -0.000000, -0.000000
-20.900000, -0.010938, -0.010938
-20.800000, -0.021870, -0.021870
-20.700000, -0.032791, -0.032791
-20.600000, -0.043696, -0.043696
-20.500000, -0.054579, -0.054579
-20.400000, -0.065434, -0.065434
-20.300000, -0.076256, -0.076256
-20.200000, -0.087040, -0.087040
-20.100000, -0.097780, -0.097780
-20.000000, -0.108471, -0.108471
-19.900000, -0.119107, -0.119107
-19.800000, -0.129683, -0.129683
-19.700000, -0.140194, -0.140194
-19.600000, -0.150635, -0.150635
-19.500000, -0.160999, -0.160999
-19.400000, -0.171283, -0.171283
-19.300000, -0.181480, -0.181480
-19.200000, -0.191586, -0.191586
-19.100000, -0.201595, -0.201595
-19.000000, -0.211503, -0.211503
-18.900000, -0.221304, -0.221304
-18.800000, -0.230994, -0.230994
-18.700000, -0.240567, -0.240567
-18.600000, -0.250020, -0.250020
-18.500000, -0.259346, -0.259346
-18.400000, -0.268542, -0.268542
-18.300000, -0.277603, -0.277603
-18.200000, -0.286524, -0.286524
-18.100000, -0.295301, -0.295301
-18.000000, -0.303929, -0.303929
-17.900000, -0.312404, -0.312404
-17.800000, -0.320721, -0.320721
-17.700000, -0.328878, -0.328878
-17.600000, -0.336868, -0.336868
-17.500000, -0.344689, -0.344689
-17.400000, -0.352336, -0.352336
-17.300000, -0.359806, -0.359806
-17.200000, -0.367095, -0.367095
-17.100000, -0.374199, -0.374199
-17.000000, -0.381115, -0.381115
-16.900000, -0.387838, -0.387838
-16.800000, -0.394367, -0.394367
-16.700000, -0.400696, -0.400696
-16.600000, -0.406824, -0.406824
-16.500000, -0.412748, -0.412748
-16.400000, -0.418463, -0.418463
-16.300000, -0.423967, -0.423967
-16.200000, -0.429259, -0.429259
-16.100000, -0.434334, -0.434334
-16.000000, -0.439190, -0.439190
-15.900000, -0.443825, -0.443825
-15.800000, -0.448237, -0.448237
-15.700000, -0.452423, -0.452423
-15.600000, -0.456381, -0.456381
-15.500000, -0.460109, -0.460109
-15.400000, -0.463606, -0.463606
-15.300000, -0.466869, -0.466869
-15.200000, -0.469897, -0.469897
-15.100000, -0.472689, -0.472689
-15.000000, -0.475242, -0.475242
-14.900000, -0.477556, -0.477556
-14.800000, -0.479630, -0.479630
-14.700000, -0.481462, -0.481462
-14.600000, -0.483052, -0.483052
-14.500000, -0.484399, -0.484399
-14.400000, -0.485502, -0.485502
-14.300000, -0.486360, -0.486360
-14.200000, -0.486973, -0.486973
-14.100000, -0.487341, -0.487341
-14.000000, -0.487464, -0.487464
-13.900000, -0.487341, -0.487341
-13.800000, -0.486973, -0.486973
-13.700000, -0.486360, -0.486360
-13.600000, -0.485502, -0.485502
-13.500000, -0.484399, -0.484399
-13.400000, -0.483052, -0.483052
-13.300000, -0.481462, -0.481462
-13.200000, -0.479630, -0.479630
-13.100000, -0.477556, -0.477556
-13.000000, -0.475242, -0.475242
-12.900000, -0.472689, -0.472689
-12.800000, -0.469897, -0.469897
-12.700000, -0.466869, -0.466869
-12.600000, -0.463606, -0.463606
-12.500000, -0.460109, -0.460109
-12.400000, -0.456381, -0.456381
-12.300000, -0.452423, -0.452423
-12.200000, -0.448237, -0.448237
-12.100000, -0.443825, -0.443825
-12.000000, -0.439190, -0.439190
-11.900000, -0.434334, -0.434334
-11.800000, -0.429259, -0.429259
-11.700000, -0.423967, -0.423967
-11.600000, -0.418463, -0.418463
-11.500000, -0.412748, -0.412748
-11.400000, -0.406824, -0.406824
-11.300000, -0.400696, -0.400696
-11.200000, -0.394367, -0.394367
-11.100000, -0.387838, -0.387838
-11.000000, -0.381115, -0.381115
-10.900000, -0.374199, -0.374199
-10.800000, -0.367095, -0.367095
-10.700000, -0.359806, -0.359806
-10.600000, -0.352336, -0.352336
-10.500000, -0.344689, -0.344689
-10.400000, -0.336868, -0.336868
-10.300000, -0.328878, -0.328878
-10.200000, -0.320721, -0.320721
-10.100000, -0.312404, -0.312404
-10.000000, -0.303929, -0.303929
-9.900000, -0.295301, -0.295301
-9.800000, -0.286524, -0.286524
-9.700000, -0.277603, -0.277603
-9.600000, -0.268542, -0.268542
-9.500000, -0.259346, -0.259346
-9.400000, -0.250020, -0.250020
-9.300000, -0.240567, -0.240567
-9.200000, -0.230994, -0.230994
-9.100000, -0.221304, -0.221304
-9.000000, -0.211503, -0.211503
-8.900000, -0.201595, -0.201595
-8.800000, -0.191586, -0.191586
-8.700000, -0.181480, -0.181480
-8.600000, -0.171283, -0.171283
-8.500000, -0.160999, -0.160999
-8.400000, -0.150635, -0.150635
-8.300000, -0.140194, -0.140194
-8.200000, -0.129683, -0.129683
-8.100000, -0.119107, -0.119107
-8.000000, -0.108471, -0.108471
-7.900000, -0.097780, -0.097780
-7.800000, -0.087040, -0.087040
-7.700000, -0.076256, -0.076256
-7.600000, -0.065434, -0.065434
-7.500000, -0.054579, -0.054579
-7.400000, -0.043696, -0.043696
-7.300000, -0.032791, -0.032791
-7.200000, -0.021870, -0.021870
-7.100000, -0.010938, -0.010938
-7.000000, 0.000000, 0.000000
-6.900000, 0.010938, 0.010938
-6.800000, 0.021870, 0.021870
-6.700000, 0.032791, 0.032791
-6.600000, 0.043696, 0.043696
-6.500000, 0.054579, 0.054579
-6.400000, 0.065434, 0.065434
-6.300000, 0.076256, 0.076256
-6.200000, 0.087040, 0.087040
-6.100000, 0.097780, 0.097780
-6.000000, 0.108471, 0.108471
-5.900000, 0.119107, 0.119107
-5.800000, 0.129683, 0.129683
-5.700000, 0.140194, 0.140194
-5.600000, 0.150635, 0.150635
-5.500000, 0.160999, 0.160999
-5.400000, 0.171283, 0.171283
-5.300000, 0.181480, 0.181480
-5.200000, 0.191586, 0.191586
-5.100000, 0.201595, 0.201595
-5.000000, 0.211503, 0.211503
-4.900000, 0.221304, 0.221304
-4.800000, 0.230994, 0.230994
-4.700000, 0.240567, 0.240567
-4.600000, 0.250020, 0.250020
-4.500000, 0.259346, 0.259346
-4.400000, 0.268542, 0.268542
-4.300000, 0.277603, 0.277603
-4.200000, 0.286524, 0.286524
-4.100000, 0.295301, 0.295301
-4.000000, 0.303929, 0.303929
-3.900000, 0.312404, 0.312404
-3.800000, 0.320721, 0.320721
-3.700000, 0.328878, 0.328878
-3.600000, 0.336868, 0.336868
-3.500000, 0.344689, 0.344689
-3.400000, 0.352336, 0.352336
-3.300000, 0.359806, 0.359806
-3.200000, 0.367095, 0.367095
-3.100000, 0.374199, 0.374199
-3.000000, 0.381115, 0.381115
-2.900000, 0.387838, 0.387838
-2.800000, 0.394367, 0.394367
-2.700000, 0.400696, 0.400696
-2.600000, 0.406824, 0.406824
-2.500000, 0.412748, 0.412748
-2.400000, 0.418463, 0.418463
-2.300000, 0.423967, 0.423967
-2.200000, 0.429259, 0.429259
-2.100000, 0.434334, 0.434334
-2.000000, 0.439190, 0.439190
-1.900000, 0.443825, 0.443825
-1.800000, 0.448237, 0.448237
-1.700000, 0.452423, 0.452423
-1.600000, 0.456381, 0.456381
-1.500000, 0.460109, 0.460109
-1.400000, 0.463606, 0.463606
-1.300000, 0.466869, 0.466869
-1.200000, 0.469897, 0.469897
-1.100000, 0.472689, 0.472689
-1.000000, 0.475242, 0.475242
-0.900000, 0.477556, 0.477556
-0.800000, 0.479630, 0.479630
-0.700000, 0.481462, 0.481462
-0.600000, 0.483052, 0.483052
-0.500000, 0.484399, 0.484399
-0.400000, 0.485502, 0.485502
-0.300000, 0.486360, 0.486360
-0.200000, 0.486973, 0.486973
-0.100000, 0.487341, 0.487341
0.000000, 0.487464, 0.487464
0.100000, 0.487341, 0.487341
0.200000, 0.486973, 0.486973
0.300000, 0.486360, 0.486360
0.400000, 0.485502, 0.485502
0.500000, 0.484399, 0.484399
0.600000, 0.483052, 0.483052
0.700000, 0.481462, 0.481462
0.800000, 0.479630, 0.479630
0.900000, 0.477556, 0.477556
1.000000, 0.475242, 0.475242
1.100000, 0.472689, 0.472689
1.200000, 0.469897, 0.469897
1.300000, 0.466869, 0.466869
1.400000, 0.463606, 0.463606
1.500000, 0.460109, 0.460109
1.600000, 0.456381, 0.456381
1.700000, 0.452423, 0.452423
1.800000, 0.448237, 0.448237
1.900000, 0.443825, 0.443825
2.000000, 0.439190, 0.439190
2.100000, 0.434334, 0.434334
2.200000, 0.429259, 0.429259
2.300000, 0.423967, 0.423967
2.400000, 0.418463, 0.418463
2.500000, 0.412748, 0.412748
2.600000, 0.406824, 0.406824
2.700000, 0.400696, 0.400696
2.800000, 0.394367, 0.394367
2.900000, 0.387838, 0.387838
3.000000, 0.381115, 0.381115
3.100000, 0.374199, 0.374199
3.200000, 0.367095, 0.367095
3.300000, 0.359806, 0.359806
3.400000, 0.352336, 0.352336
3.500000, 0.344689, 0.344689
3.600000, 0.336868, 0.336868
3.700000, 0.328878, 0.328878
3.800000, 0.320721, 0.320721
3.900000, 0.312404, 0.312404
4.000000, 0.303929, 0.303929
4.100000, 0.295301, 0.295301
4.200000, 0.286524, 0.286524
4.300000, 0.277603, 0.277603
4.400000, 0.268542, 0.268542
4.500000, 0.259346, 0.259346
4.600000, 0.250020, 0.250020
4.700000, 0.240567, 0.240567
4.800000, 0.230994, 0.230994
4.900000, 0.221304, 0.221304
5.000000, 0.211503, 0.211503
5.100000, 0.201595, 0.201595
5.200000, 0.191586, 0.191586
5.300000, 0.181480, 0.181480
5.400000, 0.171283, 0.171283
5.500000, 0.160999, 0.160999
5.600000, 0.150635, 0.150635
5.700000, 0.140194, 0.140194
5.800000, 0.129683, 0.129683
5.900000, 0.119107, 0.119107
6.000000, 0.108471, 0.108471
6.100000, 0.097780, 0.097780
6.200000, 0.087040, 0.087040
6.300000, 0.076256, 0.076256
6.400000, 0.065434, 0.065434
6.500000, 0.054579, 0.054579
6.600000, 0.043696, 0.043696
6.700000, 0.032791, 0.032791
6.800000, 0.021870, 0.021870
6.900000, 0.010938, 0.010938
7.000000, -0.000000, -0.000000
7.100000, -0.010938, -0.010938
7.200000, -0.021870, -0.021870
7.300000, -0.032791, -0.032791
7.400000, -0.043696, -0.043696
7.500000, -0.054579, -0.054579
7.600000, -0.065434, -0.065434
7.700000, -0.076256, -0.076256
7.800000, -0.087040, -0.087040
7.900000, -0.097780, -0.097780
8.000000, -0.108471, -0.108471
8.100000, -0.119107, -0.119107
8.200000, -0.129683, -0.129683
8.300000, -0.140194, -0.140194
8.400000, -0.150635, -0.150635
8.500000, -0.160999, -0.160999
8.600000, -0.171283, -0.171283
8.700000, -0.181480, -0.181480
8.800000, -0.191586, -0.191586
8.900000, -0.201595, -0.201595
9.000000, -0.211503, -0.211503
9.100000, -0.221304, -0.221304
9.200000, -0.230994, -0.230994
9.300000, -0.240567, -0.240567
9.400000, -0.250020, -0.250020
9.500000, -0.259346, -0.259346
9.600000, -0.268542, -0.268542
9.700000, -0.277603, -0.277603
9.800000, -0.286524, -0.286524
9.900000, -0.295301, -0.295301
10.000000, -0.303929, -0.303929
10.100000, -0.312404, -0.312404
10.200000, -0.320721, -0.320721
10.300000, -0.328878, -0.328878
10.400000, -0.336868, -0.336868
10.500000, -0.344689, -0.344689
10.600000, -0.352336, -0.352336
10.700000, -0.359806, -0.359806
10.800000, -0.367095, -0.367095
10.900000, -0.374199, -0.374199
11.000000, -0.381115, -0.381115
11.100000, -0.387838, -0.387838
11.200000, -0.394367, -0.394367
11.300000, -0.400696, -0.400696
11.400000, -0.406824, -0.406824
11.500000, -0.412748, -0.412748
11.600000, -0.418463, -0.418463
11.700000, -0.423967, -0.423967
11.800000, -0.429259, -0.429259
11.900000, -0.434334, -0.434334
12.000000, -0.439190, -0.439190
12.100000, -0.443825, -0.443825
12.200000, -0.448237, -0.448237
12.300000, -0.452423, -0.452423
12.400000, -0.456381, -0.456381
12.500000, -0.460109, -0.460109
12.600000, -0.463606, -0.463606
12.700000, -0.466869, -0.466869
12.800000, -0.469897, -0.469897
12.900000, -0.472689, -0.472689
13.000000, -0.475242, -0.475242
13.100000, -0.477556, -0.477556
13.200000, -0.479630, -0.479630
13.300000, -0.481462, -0.481462
13.400000, -0.483052, -0.483052
13.500000, -0.484399, -0.484399
13.600000, -0.485502, -0.485502
13.700000, -0.486360, -0.486360
13.800000, -0.486973, -0.486973
13.900000, -0.487341, -0.487341
14.000000, -0.487464, -0.487464
14.100000, -0.487341, -0.487341
14.200000, -0.486973, -0.486973
14.300000, -0.486360, -0.486360
14.400000, -0.485502, -0.485502
14.500000, -0.484399, -0.484399
14.600000, -0.483052, -0.483052
14.700000, -0.481462, -0.481462
14.800000, -0.479630, -0.479630
14.900000, -0.477556, -0.477556
15.000000, -0.475242, -0.475242
15.100000, -0.472689, -0.472689
15.200000, -0.469897, -0.469897
15.300000, -0.466869, -0.466869
15.400000, -0.463606, -0.463606
15.500000, -0.460109, -0.460109
15.600000, -0.456381, -0.456381
15.700000, -0.452423, -0.452423
15.800000, -0.448237, -0.448237
15.900000, -0.443825, -0.443825
16.000000, -0.439190, -0.439190
16.100000, -0.434334, -0.434334
16.200000, -0.429259, -0.429259
16.300000, -0.423967, -0.423967
16.400000, -0.418463, -0.418463
16.500000, -0.412748, -0.412748
16.600000, -0.406824, -0.406824
16.700000, -0.400696, -0.400696
16.800000, -0.394367, -0.394367
16.900000, -0.387838, -0.387838
17.000000, -0.381115, -0.381115
17.100000, -0.374199, -0.374199
17.200000, -0.367095, -0.367095
17.300000, -0.359806, -0.359806
17.400000, -0.352336, -0.352336
17.500000, -0.344689, -0.344689
17.600000, -0.336868, -0.336868
17.700000, -0.328878, -0.328878
17.800000, -0.320721, -0.320721
17.900000, -0.312404, -0.312404
18.000000, -0.303929, -0.303929
18.100000, -0.295301, -0.295301
18.200000, -0.286524, -0.286524
18.300000, -0.277603, -0.277603
18.400000, -0.268542, -0.268542
18.500000, -0.259346, -0.259346
18.600000, -0.250020, -0.250020
18.700000, -0.240567, -0.240567
18.800000, -0.230994, -0.230994
18.900000, -0.221304, -0.221304
19.000000, -0.211503, -0.211503
19.100000, -0.201595, -0.201595
19.200000, -0.191586, -0.191586
19.300000, -0.181480, -0.181480
19.400000, -0.171283, -0.171283
19.500000, -0.160999, -0.160999
19.600000, -0.150635, -0.150635
19.700000, -0.140194, -0.140194
19.800000, -0.129683, -0.129683
19.900000, -0.119107, -0.119107
20.000000, -0.108471, -0.108471
20.100000, -0.097780, -0.097780
20.200000, -0.087040, -0.087040
20.300000, -0.076256, -0.076256
20.400000, -0.065434, -0.065434
20.500000, -0.054579, -0.054579
20.600000, -0.043696, -0.043696
20.700000, -0.032791, -0.032791
20.800000, -0.021870, -0.021870
20.900000, -0.010938, -0.010938
21.000000, 0.000000, 0.000000
21.100000, 0.010938, 0.010938
21.200000, 0.021870, 0.021870
21.300000, 0.032791, 0.032791
21.400000, 0.043696, 0.043696
21.500000, 0.054579, 0.054579
21.600000, 0.065434, 0.065434
21.700000, 0.076256, 0.076256
21.800000, 0.087040, 0.087040
21.900000, 0.097780, 0.097780
22.000000, 0.108471, 0.108471
22.100000, 0.119107, 0.119107
22.200000, 0.129683, 0.129683
22.300000, 0.140194, 0.140194
22.400000, 0.150635, 0.150635
22.500000, 0.160999, 0.160999
22.600000, 0.171283, 0.171283
22.700000, 0.181480, 0.181480
22.800000, 0.191586, 0.191586
22.900000, 0.201595, 0.201595
23.000000, 0.211503, 0.211503
23.100000, 0.221304, 0.221304
23.200000, 0.230994, 0.230994
23.300000, 0.240567, 0.240567
23.400000, 0.250020, 0.250020
23.500000, 0.259346, 0.259346
23.600000, 0.268542, 0.268542
23.700000, 0.277603, 0.277603
23.800000, 0.286524, 0.286524
23.900000, 0.295301, 0.295301
24.000000, 0.303929, 0.303929
24.100000, 0.312404, 0.312404
24.200000, 0.320721, 0.320721
24.300000, 0.328878, 0.328878
24.400000, 0.336868, 0.336868
24.500000, 0.344689, 0.344689
24.600000, 0.352336, 0.352336
24.700000, 0.359806, 0.359806
24.800000, 0.367095, 0.367095
24.900000, 0.374199, 0.374199
25.000000, 0.381115, 0.381115
25.100000, 0.387838, 0.387838
25.200000, 0.394367, 0.394367
25.300000, 0.400696, 0.400696
25.400000, 0.406824, 0.406824
25.500000, 0.412748, 0.412748
25.600000, 0.418463, 0.418463
25.700000, 0.423967, 0.423967
25.800000, 0.429259, 0.429259
25.900000, 0.434334, 0.434334
26.000000, 0.439190, 0.439190
26.100000, 0.443825, 0.443825
26.200000, 0.448237, 0.448237
26.300000, 0.452423, 0.452423
26.400000, 0.456381, 0.456381
26.500000, 0.460109, 0.460109
26.600000, 0.463606, 0.463606
26.700000, 0.466869, 0.466869
26.800000, 0.469897, 0.469897
26.900000, 0.472689, 0.472689
27.000000, 0.475242, 0.475242
27.100000, 0.477556, 0.477556
27.200000, 0.479630, 0.479630
27.300000, 0.481462, 0.481462
27.400000, 0.483052, 0.483052
27.500000, 0.484399, 0.484399
27.600000, 0.485502, 0.485502
27.700000, 0.486360, 0.486360
27.800000, 0.486973, 0.486973
27.900000, 0.487341, 0.487341
